Player,Team,Position,oRAR,oWAR,DRS,dWAR,pRAR,pWAR,WAR
,,,,,,,,,
Daniel Jackson,Georgia,C,70.98,5.23,11.31,0.83,0,0,6.06
Landon Hairston,Arizona State,LF,67.38,4.96,3.45,0.25,0,0,5.22
Vahn Lackey,Georgia Tech,C,67.02,4.94,9.9,0.73,0,0,5.66
Lorenzo Carrier,Pittsburgh,RF,60.65,4.47,5.72,0.42,0,0,4.89
Chris Katz,Mercer,LF,59.16,4.36,0.06,0,0,0,4.36
Jarren Advincula,Georgia Tech,2B,58.99,4.34,7.72,0.57,0,0,4.91
Tre Phelps,Georgia,3B,57.38,4.23,5.87,0.43,0,0,4.66
Kollin Ritchie,Oklahoma State,CF,57.07,4.2,-2.42,-0.18,0,0,4.02
Drew Burress,Georgia Tech,CF,56.71,4.18,7.8,0.57,0,0,4.75
Tague Davis,Louisville,1B,56.75,4.18,5.78,0.43,0,0,4.6
Brendan Lawson,Florida,SS,54.99,4.05,5.39,0.4,0,0,4.45
Carson Tinney,Texas,C,54.57,4.02,13.52,1,0,0,5.01
Carson Kerce,Georgia Tech,SS,54.57,4.02,6.82,0.5,0,0,4.52
Dee Kennedy,Kansas State,SS,54.28,4,11.18,0.82,0,0,4.82
Blake Primrose,Saint Joseph's,C,54.09,3.98,6.17,0.45,0,0,4.44
Quinton Coats,Cincinnati,1B,53.72,3.96,2.21,0.16,0,0,4.12
Logan Hughes,Texas Tech,LF,52.26,3.85,10.1,0.74,0,0,4.59
Jake Schaffner,North Carolina,SS,51.96,3.83,7.18,0.53,0,0,4.35
Hunter Ray,Fairleigh Dickinson,RF,51.55,3.8,0.86,0.06,0,0,3.86
Ryan Zuckerman,Georgia Tech,3B,51.3,3.78,15.99,1.18,0,0,4.96
Tyson LeBlanc,Kansas,SS,51.31,3.78,7.87,0.58,0,0,4.36
Caden Miller,UTSA,1B,51.26,3.77,6.2,0.46,0,0,4.23
Tyce Armstrong,Baylor,1B,50.82,3.74,5.55,0.41,0,0,4.15
Gavin Kelly,West Virginia,C,50.43,3.71,2.84,0.21,0,0,3.92
Aiden Robbins,Texas,CF,49.83,3.67,-5.15,-0.38,0,0,3.29
Caden Sorrell,Texas A&M,CF,49.65,3.66,2.65,0.2,0,0,3.85
Gavin Grahovac,Texas A&M,1B,48.96,3.61,10.06,0.74,0,0,4.35
Tommy Harrison,Miami (OH),RF,49.09,3.61,-6.15,-0.45,0,0,3.16
Aaron Piasecki,Troy,RF,48.85,3.6,4.73,0.35,0,0,3.95
Ace Reese,Mississippi State,3B,48.63,3.58,9.39,0.69,0,0,4.27
Jorsixt Jimenez,Tennessee Tech,RF,48.63,3.58,-5.47,-0.4,0,0,3.18
Alex Conover,Oklahoma State,LF,48.42,3.57,-0.47,-0.03,0,0,3.53
Marcus Dierks,Miami (OH),CF,48.41,3.56,2.7,0.2,0,0,3.76
Jimmy Janicki,Troy,C,47.75,3.52,11.95,0.88,0,0,4.4
AJ Gracia,Virginia,CF,47.68,3.51,7.22,0.53,0,0,4.04
