Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Tanner Mally,Western Michigan,JR,CF,0.446,0.554,0.528,1.082,50,243,195,58,87,12,2,0,19,23,24,13,19,6
Jack Cannon,Le Moyne,JR,RF,0.439,0.504,0.699,1.203,47,225,196,61,86,19,1,10,64,2,25,28,51,4
Jarren Advincula,Georgia Tech,JR,2B,0.434,0.503,0.629,1.132,61,300,256,74,111,16,2,10,66,9,30,16,16,2
KJ White Jr.,Southern,SR,2B,0.421,0.486,0.484,0.971,48,225,190,46,80,7,1,1,33,7,20,17,32,8
Michael Rodriguez,Bethune-Cookman,SO,RF,0.416,0.574,0.565,1.139,52,218,154,53,64,11,3,2,39,20,40,24,18,6
Patrick McCullough,West Georgia,SR,3B,0.415,0.446,0.603,1.049,54,240,224,44,93,17,2,7,37,0,14,30,7,2
Miller Durham,Utah Tech,JR,1B,0.406,0.49,0.634,1.125,45,209,175,40,71,10,0,10,43,8,23,25,2,2
Mikey Cruz Jr.,Nevada,SR,DH,0.403,0.471,0.678,1.149,39,173,149,30,60,13,2,8,42,7,14,16,1,0
Lukas Torres,Wagner,GR,CF,0.401,0.529,0.495,1.024,53,265,202,64,81,13,3,0,37,6,52,10,17,2
Tyree Reed,Jackson State,SR,RF,0.401,0.538,0.642,1.18,53,256,187,62,75,14,2,9,41,12,48,39,10,4
Alex Fernandes,San Jose State,SR,RF,0.401,0.528,0.661,1.19,51,248,192,58,77,17,6,7,39,12,42,27,15,3
Jorsixt Jimenez,Tennessee Tech,SR,RF,0.401,0.483,0.817,1.3,52,238,202,55,81,16,4,20,69,11,23,38,6,4
Landon Hairston,Arizona State,SO,LF,0.4,0.507,0.86,1.366,59,290,235,82,94,20,2,28,81,10,43,27,11,4
Daniel Jackson,Georgia,JR,C,0.399,0.498,0.84,1.339,62,293,238,85,95,13,1,30,85,7,44,54,25,2
Vahn Lackey,Georgia Tech,JR,C,0.397,0.519,0.772,1.291,61,283,219,85,87,16,3,20,78,10,50,38,15,1
Jackson McKenzie,Florida A&#038;M,JR,DH,0.395,0.515,0.822,1.337,40,163,129,35,51,15,2,12,53,6,27,35,1,1
Marcus Dierks,Miami (OH),JR,CF,0.394,0.536,0.478,1.013,55,281,203,72,80,11,3,0,32,21,42,34,40,4
Titan Kamaka,Mercer,SR,SS,0.393,0.475,0.631,1.106,55,243,206,42,81,22,3,7,47,5,29,36,5,3
Chris Chavez,Texas Southern,JR,RF,0.392,0.524,0.464,0.988,41,209,153,44,60,6,1,1,38,18,30,17,5,2
Brayden Bakes,Illinois State,SO,LF,0.389,0.478,0.705,1.183,57,276,234,54,91,22,2,16,52,3,38,37,7,1
Blake Primrose,Saint Joseph&#8217;s,SO,C,0.388,0.502,0.854,1.356,54,263,206,78,80,18,3,24,72,4,48,55,2,0
Lorenzo Carrier,Pittsburgh,SR,RF,0.387,0.534,0.784,1.318,57,268,199,67,77,15,2,20,69,9,57,62,6,0
Aubrey Kearns,Morehead State,SO,DH,0.387,0.471,0.622,1.093,55,255,217,59,84,13,1,12,59,4,32,43,3,1
Chris Katz,Mercer,SR,LF,0.386,0.51,0.791,1.301,59,286,220,82,85,18,1,23,74,10,51,26,2,2
Tommy Harrison,Miami (OH),JR,RF,0.386,0.507,0.698,1.205,54,272,215,58,83,16,0,17,85,14,41,33,4,3
Andrew Detlefsen,UTSA,SR,LF,0.386,0.443,0.659,1.101,57,280,249,66,96,22,2,14,70,14,14,49,5,0
TJ Grines,Tennessee-Martin,SR,RF,0.386,0.439,0.622,1.061,55,271,241,75,93,21,3,10,56,8,17,29,66,8
Caleb Wulf,Iowa,SR,1B,0.385,0.437,0.489,0.926,56,257,231,46,89,15,0,3,49,8,14,13,3,2
Diego Cruz,Miami (OH),FR,2B,0.385,0.467,0.615,1.082,52,229,192,58,74,19,2,7,47,16,16,42,23,5
Danny MacDougall,Dayton,GR,2B,0.384,0.48,0.661,1.14,54,272,224,70,86,24,1,12,43,11,32,53,34,8
Carson Kerce,Georgia Tech,JR,SS,0.384,0.473,0.679,1.152,61,278,237,70,91,29,4,11,51,6,34,37,2,0
Brady Christman,Georgia Southern,FR,DH,0.384,0.48,0.719,1.199,46,177,146,41,56,5,4,12,44,1,28,47,3,0
Ryland Duson,Prairie View,FR,3B,0.384,0.455,0.584,1.039,50,222,190,40,73,13,2,7,45,2,26,32,5,5
Chris Ramirez,California Baptist,SO,SS,0.383,0.447,0.569,1.016,59,293,253,71,97,22,2,7,41,5,29,18,21,7
Hunter Miller,Southern Indiana,SR,LF,0.382,0.49,0.561,1.051,46,155,123,26,47,9,2,3,19,3,23,23,3,1
Diego Castellanos,Saint Mary&#8217;s,JR,RF,0.382,0.458,0.554,1.012,62,294,251,61,96,21,2,6,50,5,31,33,8,2
Evan Bottone,Marshall,JR,CF,0.381,0.475,0.572,1.047,54,259,215,57,82,13,2,8,41,16,23,30,11,1
Byron Robinson,Texas Southern,JR,DH,0.381,0.512,0.65,1.162,45,207,160,39,61,9,2,10,46,7,38,40,3,0
Gavin Kelly,West Virginia,SO,C,0.381,0.482,0.709,1.19,57,275,223,63,85,19,3,16,56,6,41,41,4,7
Rett Johnson,NC State,FR,LF,0.381,0.49,0.447,0.936,54,247,197,53,75,10,0,1,31,3,42,17,14,2
JP Pennella,UNC Wilmington,SO,LF,0.38,0.464,0.425,0.889,55,241,200,36,76,9,0,0,17,5,27,44,16,5
Chase Swain,La Salle,SR,CF,0.38,0.485,0.616,1.1,54,262,216,63,82,14,5,9,43,12,33,44,19,2
Rylan Lujo,Georgia,SO,CF,0.379,0.457,0.641,1.098,54,230,198,54,75,14,1,12,44,11,19,20,14,1
Mikey Bell,Gonzaga,JR,3B,0.379,0.456,0.607,1.063,54,261,224,52,85,24,0,9,47,7,27,37,4,1
Jackson Marshall,Connecticut,SO,1B,0.379,0.48,0.674,1.154,57,271,224,49,85,22,1,14,59,7,38,36,1,1
Paulie Goodness,Le Moyne,SR,CF,0.378,0.502,0.465,0.967,44,223,172,50,65,10,1,1,24,15,31,30,40,6
Braeden Schnabel,Pacific,JR,RF,0.378,0.436,0.574,1.011,44,167,148,35,56,18,1,3,29,2,14,32,1,0
Cole Howarth,California Baptist,SR,1B,0.377,0.417,0.514,0.931,49,164,146,25,55,11,0,3,35,0,13,37,3,1
Rayner Heinrich,Tarleton,SO,LF,0.377,0.444,0.677,1.122,55,253,220,51,83,22,4,12,63,10,19,39,12,2
Mark Quatrani,Notre Dame,JR,C,0.376,0.457,0.643,1.1,53,254,213,53,80,10,1,15,66,12,24,45,1,1
Jackson Trout,Omaha,GR,1B,0.376,0.436,0.613,1.05,47,220,194,40,73,15,2,9,46,3,20,28,9,2
Johnathan Gomez,Fairleigh Dickinson,SO,SS,0.376,0.5,0.61,1.11,53,280,218,78,82,21,0,10,51,21,37,41,12,2
Logan Hughes,Texas Tech,JR,LF,0.375,0.51,0.735,1.245,55,257,200,68,75,16,1,18,70,7,49,33,3,0
Derek Williams,Miami,GR,RF,0.374,0.466,0.668,1.134,59,266,214,57,80,15,0,16,69,13,30,44,10,6
Logan Tribble,Wofford,SR,LF,0.374,0.482,0.48,0.961,56,250,198,47,74,16,1,1,45,7,37,35,14,1
Drew Barragan,UNLV,SR,3B,0.374,0.46,0.687,1.147,53,251,211,60,79,15,6,13,60,8,28,50,3,0
Andreaus Lewis,Manhattan,GR,C,0.374,0.445,0.632,1.077,47,200,174,31,65,13,1,10,40,0,24,24,3,1
Eli Stephens,Mercer,SO,RF,0.374,0.476,0.749,1.224,54,227,187,48,70,8,1,20,64,3,35,55,1,1
Jake Long,Utah,JR,LF,0.374,0.445,0.626,1.07,51,247,211,48,79,16,2,11,58,5,25,31,5,2
Enzo Infelise,Cincinnati,FR,DH,0.374,0.441,0.551,0.992,59,256,227,38,85,10,0,10,48,11,17,54,2,0
Troy Sudbrook,Toledo,JR,3B,0.373,0.467,0.665,1.132,60,289,236,65,88,32,2,11,71,15,30,40,13,5
Alex Kelsey,Saint Joseph&#8217;s,SO,CF,0.373,0.489,0.507,0.996,55,268,217,62,81,14,3,3,35,19,31,27,22,4
Garrett Larsen,Yale,JR,LF,0.372,0.459,0.527,0.985,46,223,188,49,70,16,2,3,32,16,14,18,26,4
AJ Swader,Bellarmine,GR,1B,0.372,0.455,0.657,1.112,53,244,207,44,77,20,3,11,59,6,28,19,2,1
Owen Hull,North Carolina,JR,CF,0.372,0.493,0.565,1.058,60,282,223,52,83,20,1,7,79,11,45,39,17,5
Caden Ferraro,Texas Tech,JR,DH,0.372,0.481,0.601,1.082,52,233,188,44,70,19,0,8,45,3,39,36,1,0
Caleb Koskie,Indiana,SO,LF,0.372,0.461,0.568,1.029,45,182,148,28,55,11,0,6,42,9,19,23,2,0
Andrew Gauna,San Diego,GR,RF,0.37,0.457,0.565,1.023,49,223,184,35,68,16,1,6,51,10,24,32,8,3
Javier Gorostola,Florida Gulf Coast,SO,3B,0.37,0.439,0.621,1.06,54,255,219,46,81,14,1,13,56,9,22,21,1,0
Joseph Mennella,Wagner,JR,1B,0.37,0.488,0.63,1.117,53,240,189,46,70,5,1,14,67,4,43,42,4,1
Dylan Immel,Wagner,JR,2B,0.37,0.449,0.495,0.944,49,219,184,39,68,18,1,1,47,4,25,24,11,0
