Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Jackson Flora,UC Santa Barbara,JR,12,0,1.06,16,16,2,2,0,102,55,14,12,32,133,8,0.155
Mason Edwards,Southern California,JR,8,0,1.85,16,16,0,0,0,92.2,50,22,19,43,164,5,0.153
Dylan Volantis,Texas,SO,9,1,1.94,15,14,0,0,0,83.1,55,19,18,23,116,6,0.181
Dax Whitney,Oregon State,SO,6,1,2,11,11,0,0,0,63,42,16,14,18,104,2,0.185
Caden Glauber,North Carolina,FR,10,0,2.06,24,2,0,0,4,74.1,46,20,17,37,88,5,0.18
Maxx Yehl,West Virginia,JR,8,2,2.12,16,16,1,0,0,85,66,27,20,24,101,17,0.218
Eric Segura,Oregon State,JR,6,2,2.22,15,15,0,0,0,73,56,23,18,27,82,12,0.219
Seth Benes,Lindenwood,JR,4,5,2.34,15,15,1,0,0,92.1,68,29,24,30,78,5,0.206
Matt Archibald,Navy,JR,7,3,2.35,11,11,1,0,0,65,39,22,17,32,98,8,0.171
Isaiah Magdaleno,Hawaii,JR,7,5,2.36,15,15,2,2,0,95.1,57,28,25,31,116,11,0.171
Michael Addari,Illinois State,JR,4,4,2.41,14,11,0,0,0,67.1,58,31,18,22,73,11,0.243
Brady Bendik,Navy,JR,6,4,2.42,13,13,2,1,0,81.2,73,31,22,27,91,8,0.234
Sam Simmons,UTSA,SR,7,4,2.43,27,0,0,0,5,66.2,59,24,18,20,52,4,0.229
Sheamus Ryan,North Dakota State,FR,1,2,2.44,13,2,1,0,3,48,54,14,13,11,28,4,0.289
Ben Alekson,Fairfield,JR,7,4,2.47,15,15,1,0,0,87.1,76,30,24,29,63,7,0.231
Landon Hood,Gonzaga,FR,3,1,2.48,16,4,0,0,5,54.1,32,16,15,21,78,6,0.162
Wylan Moss,UCLA,SO,5,1,2.49,17,6,1,0,1,65,44,21,18,24,76,7,0.194
David Rossow,Campbell,SR,10,2,2.51,16,13,2,1,0,82.1,63,31,23,22,104,10,0.206
Jason DeCaro,North Carolina,JR,10,2,2.54,16,16,1,1,0,78,71,28,22,37,76,7,0.25
Max Bayles,Santa Clara,JR,5,4,2.54,15,15,0,0,0,71,48,22,20,44,104,1,0.19
Andrew Evans,Southern Illinois,SR,8,1,2.58,16,16,1,1,0,88.1,75,27,25,29,99,4,0.227
John Damozonio,Saint Mary&#8217;s,SR,7,2,2.59,14,14,0,0,0,83.1,72,31,24,21,87,15,0.232
Hunter Alexander,Central Arkansas,SR,7,2,2.59,27,0,0,0,11,62.2,46,22,18,28,76,2,0.201
Josh Newell,Lindenwood,SR,6,5,2.65,15,15,2,0,0,102,104,41,30,13,63,2,0.265
Mikiah Negrete,Cal State Fullerton,SR,9,4,2.7,15,15,3,1,0,100,83,33,30,17,94,10,0.224
Garret Plata,Pacific,JR,4,2,2.72,14,14,0,0,0,76,60,24,23,43,72,7,0.217
Felix Morin,Canisius,SR,5,5,2.77,16,15,0,0,1,87.2,81,50,27,30,71,5,0.242
Cody Brasch,Louisiana,JR,6,3,2.77,22,8,0,0,6,74.2,53,24,23,21,82,6,0.197
Jackson Sanders,Auburn,SO,5,1,2.77,16,7,0,0,4,68.1,51,24,21,24,93,6,0.206
Tyler Grenn,Navy,SR,3,4,2.78,18,7,0,0,2,58.1,55,29,18,16,47,4,0.244
Chris Olivier,Lamar,SR,7,4,2.78,16,16,1,1,0,94,61,32,29,38,108,8,0.18
Cooper Allen,UNC Wilmington,JR,9,4,2.79,15,15,2,1,0,87,65,30,27,23,96,8,0.21
Aidan Flinn,Illinois,FR,1,3,2.79,15,13,0,0,0,61.1,38,21,19,13,58,14,0.178
Cayden Suchy,Connecticut,SO,5,3,2.82,15,15,1,0,0,89.1,77,33,28,23,105,4,0.231
Chris Levonas,Wake Forest,SO,10,3,2.82,15,15,0,0,0,73.1,44,25,23,33,116,7,0.171
Will Labonte,Portland,FR,3,2,2.82,14,13,0,0,0,73.1,64,24,23,28,58,4,0.24
Alec Bouchard,Wofford,JR,9,3,2.83,15,15,1,0,0,86,72,31,27,27,104,4,0.224
Ryland Urbanczyk,Rice,JR,4,4,2.84,15,15,0,0,0,66.2,50,24,21,36,41,10,0.214
Elias Holbert,VCU,SR,4,1,2.86,18,9,0,0,0,66,51,26,21,37,75,13,0.213
Tate Evans,Yale,SR,7,2,2.87,22,8,0,0,2,84.2,77,30,27,15,80,13,0.241
